date,text,sentiment_score,sentiment_label,contribute_words
2000-05-11 01:16:00,"Dawn,I received your email with p&l's.  Please continue to send them daily.Thank you,<PERSON>","[0.3449968993663788, 0.08699128776788712, 0.12363111227750778, 0.13912807404994965, 0.30525270104408264]",0,"continue, please, dawn"
2000-05-01 03:56:00,"No one will be home on <DATE_TIME> to meet DSL <IN_PAN>.  Need to <IN_PAN> to <DATE_TIME>.  Also, my PC at home has Windows 95.  Is this a problem? Call with questions. <US_DRIVER_LICENSE>.Thank you,<PERSON>","[0.48377084732055664, 0.2370421439409256, 0.14080771803855896, 0.07290604710578918, 0.06547321379184723]",0,"no, problem, thank"
2000-04-28 02:05:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 09:02 AM ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>/ECT@ECTcc: <PERSON>, <PERSON> Subject: Re: SW Gas  <PERSON> and I met with SW Gas <DATE_TIME>.  They were polite regarding asset management and procurement function outsourcing and are willing to listen to a proposal.  However, they are very interested in weather hedges to protect throughput related earnings.  We are pursuing a confidentiality agreement with them to facilitate the sharing of information that will enable us to develop proposals.  Our pitch was based upon enhancing shareholder value by outsourcing a non-profit and costly function (procurement) and by reducing the volatility of their earnings by managing throughput via a weather product.As to your other question.  We have yet to identify or pursue other candidates; however, <PERSON> and I are developing a coverage strategy to ensure that we meet with all potential entities and investigate our opportunities.  We met with 8 entities <DATE_TIME> (7 Municipals and SWG) as we implement our strategy in <LOCATION>.Are there any entities that you think would be interested in an asset management deal that we should approach?  Otherwise, we intend to systematically identify and work through all the candidates. <PERSON>","[0.08505474776029587, 0.1386677771806717, 0.16027598083019257, 0.37003231048583984, 0.24596922099590302]",3,"forward, however, are"
2000-04-27 06:55:00,"<PERSON>, Did you meet with SWG on <DATE_TIME>.  Are there any other asset <IN_PAN> targets in the west?---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> <DATE_TIME> ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>/ECT@ECTcc:  Subject: SW Gas---------------------- Forwarded by <PERSON>/HOU/ECT on <DATE_TIME> <DATE_TIME> ---------------------------<PERSON> 08:17 AMTo: <PERSON>/HOU/ECT@ECTcc:  Subject: SW Gas<PERSON>,Thanks for the fax on SW Gas.We are meeting with <PERSON>, <PERSON> on <DATE_TIME> to discuss asset management.  In preparation for that meeting we would like to gain an understanding of the nature of our business relationship with <LOCATION>.  Could you, in general terms, describe our sales activities with SW.  What are typical quantities and term on sales?  Are there any services we provide?  How much pipeline capacity do we buy or sell to them?  Who are your main contacts at SW Gas?We will propose to provide a full requirements supply to <NRP> involving our control of their assets.  For this to be attractive to <LOCATION>, we will probably have to take on their regulatory risk on gas purchase disallowance with the commissions.  This will be difficult as there is no clear mandate from their commissions as to what an acceptable portfolio (fixed, indexed, collars....) should look like.  <LOCATION> them a guaranteed discount to <DATE_TIME> index may not be attractive unless we accept their regulatory risk.  That risk may not be acceptable to the desk.  I will do some investigation of their PGA's and see if there is an opportunity.As to the asset management:  do you have any preference on structure?  Are there elements that you would like to see?  Any ideas at all would be greatly appreciated.Thanks,<PERSON>","[0.16044005751609802, 0.1939661204814911, 0.18626464903354645, 0.288032203912735, 0.17129699885845184]",3,"08, did, 17"
2000-04-27 06:40:00,"Kay & Neal,Thanks for remembering my birthday.  You beat my parents by <DATE_TIME>.  The family is doing fine.  <PERSON> is really smiling.  She is a very happy baby as long as she is being held.It sounds like your house is coming along fast.  I think my folks are ready to start building.  We will probably visit in <DATE_TIME>.  <DATE_TIME> is busy.  We are taking the kids to Disney for their birthdays.Good luck on the house.<PERSON>","[0.011088373139500618, 0.023874955251812935, 0.11178860068321228, 0.4473281502723694, 0.4059198796749115]",3,"kay, luck, thanks"
2000-04-26 01:42:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------<PERSON> 11:43 AMTo: <PERSON>/ECT@ECT, <PERSON>/ECT@ECTcc: <PERSON>/ECT@ECT Subject: Western Strategy Session Materials<DATE_TIME>'s charts are attached: ","[0.1399206519126892, 0.15786504745483398, 0.2094704508781433, 0.2993088960647583, 0.193434938788414]",3,"attached, on, forward"
2000-04-26 01:38:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------<PERSON> 11:43 AMTo: <PERSON>/ECT@ECT, <PERSON>/ECT@ECTcc: <PERSON>/ECT@ECT Subject: Western Strategy Session Materials<DATE_TIME>'s charts are attached: ","[0.1399206519126892, 0.15786504745483398, 0.2094704508781433, 0.2993088960647583, 0.193434938788414]",3,"attached, on, forward"
2001-04-25 16:28:00,Are there behind closed doors discussions being held prior to the meeting?  Is there the potential for a surprise announcement of some sort of fixed price gas or power cap once the open meeting finally happens?,"[0.16666361689567566, 0.3028876781463623, 0.38564538955688477, 0.12019145488739014, 0.024611881002783775]",2,"are, ?, is"
2000-04-25 05:22:00,<DATE_TIME>,"[0.1585782915353775, 0.15151768922805786, 0.252708375453949, 0.24747729301452637, 0.18971823155879974]",2,"date, <, time"
2000-04-24 00:00:00,"<PERSON>,I spoke to <PERSON> about the foundation work on #2 & #3.  He agreed that it would be better to just clean up #3 and do whatever he and <PERSON> can do to #2.  Then they can just focus on #19.  I worked on the books <DATE_TIME> but I need more time to finish.  I will call you in <DATE_TIME>.<PERSON>","[0.11733600497245789, 0.27879467606544495, 0.35660520195961, 0.1803748607635498, 0.06688933819532394]",2,"but, agreed, will"
2000-04-13 04:41:00,Here is my DSL form.,"[0.05305156484246254, 0.04886667802929878, 0.13267163932323456, 0.27136433124542236, 0.4940457344055176]",4,"here, is, my"
2000-04-13 04:04:00,Thanks for your help. My assistant is <PERSON>.,"[0.01699923165142536, 0.01411380060017109, 0.06975626200437546, 0.3124266564846039, 0.5867040157318115]",4,"thanks, is, for"
2000-04-10 07:09:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 02:09 PM ---------------------------   			From:  <PERSON> Gomez                           <DATE_TIME> 07:11 AM	To: <PERSON>, <PERSON>/ECT@ECTcc:  Subject: Alliance netback worksheetHello Men-I have attached my worksheet in case you want to review the data while I am on holiday.Thanks,<PERSON>","[0.2446237951517105, 0.1553165763616562, 0.1505485475063324, 0.21543531119823456, 0.23407575488090515]",0,"on, thanks, forward"
2000-04-06 05:18:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 12:18 PM ---------------------------   			From:  <PERSON> Gomez                           <DATE_TIME> 07:11 AM	To: <PERSON>, <PERSON>/ECT@ECTcc:  Subject: Alliance netback worksheetHello Men-I have attached my worksheet in case you want to review the data while I am on holiday.Thanks,<PERSON>","[0.2307273894548416, 0.1515476405620575, 0.1440548449754715, 0.22527635097503662, 0.2483937293291092]",4,"on, thanks, forward"
2000-04-05 10:13:00,"<PERSON>,Here are our addresses for DSL lines:<PERSON><DATE_TIME> <LOCATION><LOCATION>, TX 77024<PHONE_NUMBER><PERSON> Merlin Ct<LOCATION>, TX 77055<UK_NHS><PERSON>6201 Meadow Lake<LOCATION>, TX 77057<PHONE_NUMBER>Thanks<PERSON>","[0.1977049857378006, 0.14680330455303192, 0.21341802179813385, 0.22147198021411896, 0.22060176730155945]",3,"thanks, our, for"
2000-03-30 01:58:00,Are we going to inspect <DATE_TIME>?,"[0.28032565116882324, 0.25150883197784424, 0.28907284140586853, 0.12000346928834915, 0.059089161455631256]",2,"are, ?, we"
2000-03-28 08:22:00,"mac,We will be there on the 9th and I will bring the paperwork.phillip","[0.0814678817987442, 0.09075536578893661, 0.21026261150836945, 0.3036639988422394, 0.31385019421577454]",4,"phillip, mac, and"
2000-03-28 06:33:00,"Mac,I checked into executing my options with Smith Barney.  Bad news.  Enron has an agreement with <PERSON> that is exclusive.  Employees don't have the choice of where to exercise.  I still would like to get to the premier service account, but I will have to transfer the money.  Hopefully this will reach you.<PERSON>","[0.5545428991317749, 0.27315500378608704, 0.1301771104335785, 0.0287411417812109, 0.0133838951587677]",0,"bad, mac, reach"
2001-04-25 16:09:00,"<PERSON>,Here is a <IN_PAN> of a similar house.  The <IN_PAN> would be 56'Wide X 41' Deep for the living area.  In addition there will be a 6' deep two story porch across the entire back and 30' across the front.  A modification to the front will be the addition of a gable across 25' on the left side.  The living area will be brought forward under this gable to be flush with the front porch.  I don't have my floor plan with me at work <DATE_TIME>, but will bring in <DATE_TIME> and fax you a copy.<PERSON><PHONE_NUMBER><EMAIL_ADDRESS>---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> <DATE_TIME> ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To:	<EMAIL_ADDRESS>cc:	 Subject:	 ","[0.0940990298986435, 0.14132827520370483, 0.20884039998054504, 0.36695319414138794, 0.18877911567687988]",3,"would, here, ,"
2000-03-28 06:12:00,"<PERSON>,Could we set up an inspection for <DATE_TIME> at <DATE_TIME>?Listing for Burnet is in the mail<PERSON>","[0.3004271984100342, 0.21807439625263214, 0.25973644852638245, 0.14945894479751587, 0.07230311632156372]",0,"is, could, ,"
2000-03-27 23:52:00,"tara,Please grant access to manage financial products to the following: <PERSON> <PERSON><PERSON> <PERSON> <PERSON> are making markets on <DATE_TIME> gas <DATE_TIME> swaps.  Thank you.<PERSON>","[0.34192824363708496, 0.1607000231742859, 0.18367169797420502, 0.15207022428512573, 0.16162973642349243]",0,"thank, please, tara"
2000-03-27 03:20:00,"<PERSON>,Go ahead and work with <PERSON> to get a new fridge for #8.  I am going to try and come down this <DATE_TIME>.Talk to you later.<PERSON>","[0.21623015403747559, 0.20455914735794067, 0.2386157363653183, 0.1962997317314148, 0.14429523050785065]",2,"ahead, down, ,"
2000-03-24 01:00:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 08:57 AM ---------------------------<PERSON> 08:09 AMTo: <PERSON>, <PERSON>/ECT@ECTcc:  Subject: Western Strategy Briefing MaterialsSlides from this <DATE_TIME>'s strategy session are attached: ","[0.1989605873823166, 0.16976547241210938, 0.17869488894939423, 0.25144103169441223, 0.20113800466060638]",3,"am, on, forward"
2000-03-23 01:32:00,"<PERSON>, Thank you for the offer, but I am not doing the ride <DATE_TIME>.   Good luck.<PERSON>","[0.31653809547424316, 0.2862062156200409, 0.30418869853019714, 0.07396910339593887, 0.019097814336419106]",0,"luck, not, good"
2000-03-22 05:48:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------   			From:  <PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>, <PERSON>/ECT@ECT, <PERSON>, <PERSON> Martin/HOU/ECT@ECTcc: Bhavna Pandya/HOU/ECT@ECT Subject: Meeting-THURSDAY, <DATE_TIME> plan on attending a meeting on <DATE_TIME> at <DATE_TIME> in Room 3127.  This meeting will be brief.  I would like to take the time to introduce <PERSON>, and get some input from you on various projects she will be assisting us with.  Thank you.","[0.029026998206973076, 0.04601368308067322, 0.09586803615093231, 0.3816475570201874, 0.44744372367858887]",4,"thank, will, ."
2000-03-22 01:27:00,"Stephane, Can you create an e-mail list to distribute your reports everyday to the west desk?Or put them on a common drive?  We can do the same with our reports.   List should include: <PERSON> <PERSON> <PERSON> <PERSON> <PERSON> <PERSON> <PERSON> <PERSON> <PERSON>.<PERSON>","[0.1728907823562622, 0.1692293882369995, 0.2602079212665558, 0.24140360951423645, 0.15626835823059082]",2,"should, stephane, ,"
2000-03-22 00:36:00,http://ectpdx-sunone/~ctatham/navsetup/<URL>mid   pallenpw  westgasxhighly sensitive do not distribute,"[0.6708003282546997, 0.23351134359836578, 0.07787616550922394, 0.01234670914709568, 0.005465589463710785]",0,"not, do, http"
2000-03-21 05:26:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 01:24 PM ---------------------------Stephane Brodeur<DATE_TIME> <DATE_TIME>To: <PERSON>/ECT@ECTcc:  Subject: MapsAs requested by <PERSON>, here's the map and the forecast...Call me if you have any questions <PHONE_NUMBER>.","[0.22267882525920868, 0.177013099193573, 0.16177786886692047, 0.22815708816051483, 0.21037305891513824]",3,"forward, on, stephane"
2000-03-20 00:58:00,<PERSON> was out of the office on <DATE_TIME>.I will call you about wade <DATE_TIME><PERSON>,"[0.31174367666244507, 0.20034322142601013, 0.23297706246376038, 0.14259251952171326, 0.11234349012374878]",0,"on, was, wade"
2001-04-24 17:26:00,it works.  thank you,"[0.005690287798643112, 0.008803613483905792, 0.09656857699155807, 0.41030189394950867, 0.4786357283592224]",4,"thank, works, it"
2000-03-16 06:09:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 02:07 PM ---------------------------Stephane Brodeur<DATE_TIME> <DATE_TIME>To: <PERSON>/ECT@ECTcc:  Subject: MapsAs requested by <PERSON>, here's the map and the forecast...Call me if you have any questions <PHONE_NUMBER>.","[0.2313961684703827, 0.18000566959381104, 0.1643141508102417, 0.22216007113456726, 0.20212401449680328]",0,"forward, on, stephane"
2000-03-15 04:44:00,"socal positionThis is short, but is it good enough?","[0.029486961662769318, 0.1349012702703476, 0.5364733338356018, 0.2532709836959839, 0.04586745798587799]",2,"?, is, enough"
2000-03-15 02:00:00,"<PERSON>,I have been receiving your updates.  Either I forgot my password or do not have one.  Can you check?<PERSON><PHONE_NUMBER>","[0.4805850386619568, 0.21349985897541046, 0.16726697981357574, 0.07721498608589172, 0.061433084309101105]",0,"been, your, receiving"
2000-03-14 04:19:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 12:17 PM ---------------------------   			From:  <PERSON><DATE_TIME> 01:43 PM	To: <PERSON>/ECT@ECT, <PERSON>/ECT@ECTcc:  <PERSON>: We have room <US_DRIVER_LICENSE> from <DATE_TIME> on <DATE_TIME>.WK","[0.28501734137535095, 0.18156662583351135, 0.15405428409576416, 0.18608514964580536, 0.1932765692472458]",0,"on, forward, wk"
2000-03-14 03:42:00,re: window unit check with gary about what kind he wants to install,"[0.07660260796546936, 0.09568949043750763, 0.24299949407577515, 0.315542995929718, 0.26916542649269104]",3,"re, about, with"
2000-03-13 09:35:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------   			From:  <PERSON><DATE_TIME> 01:43 PM	To: <PERSON>/ECT@ECT, <PERSON>/ECT@ECTcc:  <PERSON>: We have room <US_DRIVER_LICENSE> from <DATE_TIME> on <DATE_TIME>.WK","[0.24404694139957428, 0.1694640964269638, 0.15564218163490295, 0.21001403033733368, 0.22083275020122528]",0,"forward, wk, on"
2000-03-13 05:32:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------   			From:  <PERSON><DATE_TIME> 11:31 AM	To: <PERSON>/ECT@ECT, <PERSON>/ECT@ECT, Brent A Price/HOU/ECT@ECTcc:  Subject: Priority ListWill,Here is a list of the top items we need to work on to improve the position and p&l reporting for the west desk.My underlying goal is to create position managers and p&l reports that represent all the risk held by the deskand estimate p&l with great accuracy.Let's try and schedule a meeting for <DATE_TIME> to go over the items above.<PERSON> ","[0.05885464698076248, 0.0776842013001442, 0.12165147066116333, 0.34900572896003723, 0.39280399680137634]",4,"my, forward, subject"
2000-03-13 05:31:00,"Will,Here is a list of the top items we need to work on to improve the position and p&l reporting for the west desk.My underlying goal is to create position managers and p&l reports that represent all the risk held by the deskand estimate p&l with great accuracy.Let's try and schedule a meeting for <DATE_TIME> to go over the items above.<PERSON> ","[0.005108424462378025, 0.008398923091590405, 0.03603619709610939, 0.23054549098014832, 0.7199109792709351]",4,"will, my, ."
2000-03-13 02:22:00,Go ahead and level the floor in #2.  ,"[0.13040584325790405, 0.11691881716251373, 0.15228235721588135, 0.2566854655742645, 0.34370750188827515]",4,"go, ahead, #"
2001-05-11 11:26:00,"Let me know when you get the quotes from Pauline.  I am expecting to pay something in the $3,000 to $5,000 range.  I would like to see the quotes and a description of the work to be done.  It is my understanding that some rock will be removed and replaced with siding.  If they are getting quotes to put up new rock then we will need to clarify.<PERSON> is ready to drop in a dollar amount on the release.  If the negotiations stall, it seems like I need to go ahead and cut off the utilities.  Hopefully things will go smoothly.<PERSON>","[0.1349284052848816, 0.32062965631484985, 0.34889528155326843, 0.15586918592453003, 0.03967743366956711]",2,"let, hope, seems"
2001-04-24 17:26:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> <DATE_TIME> ---------------------------<PERSON> Benson@ENRON on <DATE_TIME> <DATE_TIME>To:	<PERSON>/ECT@ECTcc:	 Subject:	Instructions for FERC MeetingsMr. <PERSON>Per our phone conversation, please see the instructions below to get access to view FERC meetings.  Please advise if there are any problems, questions or concerns.<PERSON>. <IN_PAN>Enron <IN_PAN> Affairs - The Americas<PHONE_NUMBER>++++++++++++++++++++++++++----- Forwarded by <PERSON>NA/Enron on <DATE_TIME> <DATE_TIME> -----	<PERSON> <DATE_TIME> <DATE_TIME> 	   To: <EMAIL_ADDRESS>, <EMAIL_ADDRESS>, <EMAIL_ADDRESS>  cc:   Subject: Instructions for FERC Meetings	As long as you are <IN_PAN> to receive Real Video, you should be able to access the FERC meeting <DATE_TIME>.  The instructions are below.---------------------- Forwarded by <PERSON>/ET&S/Enron on <DATE_TIME> <DATE_TIME> ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To:	<EMAIL_ADDRESS>, <PERSON>, <EMAIL_ADDRESS>cc:	Shelley Corman/ET&S/Enron@Enron Subject:	Instructions for FERC Meetings 		Here is the URL address for the Capitol Connection.  You should be able to simply click on this URL below and it should come up for you.  (This is assuming your computer is configured for Real Video/Audio).  We will pay for the <DATE_TIME> contract and bill your cost centers.You are connected for <DATE_TIME> as long as you have access to Real Video.<URL>Instructions:Once into the Capitol Connection sight, click on FERCClick on first line (either ""click here"" or box)Dialogue box should require:  user name:  enron-y			           password:  fercnowReal Player will connect you to the meetingExpand your screen as you wish for easier viewingAdjust your sound as you wish","[0.10978375375270844, 0.08757548034191132, 0.08699453622102737, 0.2723540663719177, 0.44329214096069336]",4,"below, our, on"
2000-03-09 06:20:00,"<PERSON>,Please remove <PERSON> and <PERSON> from rc #768.  Thank you<PERSON>","[0.43675652146339417, 0.15454523265361786, 0.18247278034687042, 0.11952682584524155, 0.10669867694377899]",0,"remove, thank, please"
2000-03-09 06:00:00,"Go ahead and order the ac for #27.  Can you email or fax a summary of all rents collected from <DATE_TIME> through <DATE_TIME>.  I need this to finish my tax return.I have all the expense data but not rent <IN_PAN>.  Fax number is <PHONE_NUMBER>.Thank you,<PERSON>","[0.7240616679191589, 0.13626383244991302, 0.07423066347837448, 0.03051898255944252, 0.034924790263175964]",0,"go, not, but"
2000-03-07 09:02:00,Anymore details?  Is the offer above or below 675?What else do you have in a clean <DATE_TIME> in a good location with room to expand?,"[0.20215894281864166, 0.3056758940219879, 0.3684852123260498, 0.09654291719198227, 0.0271370280534029]",2,"?, ?, is"
2000-03-06 05:27:00,"$100 for the yard seems like enough for <DATE_TIME>.  How long did it take him?  I think $100 should be enough. Use Page Setup under the File menu to change  from Portrait to Landscape if you want to change from printing vertically to printing horizontally.  Also try selecting Fit to one page if you want your print out to be on only one page.  <PERSON> previewto see what your print out will look like before you print.The truck might need new sparkplugs at around 120,000-125,000 miles.  A valve adjustment might do some good.  It has idled very highfor the last 25,000 miles, but it has never broken down.<PERSON> to hear about the good deposit for <DATE_TIME>.  Great job on <DATE_TIME>.<PERSON>","[0.03591466322541237, 0.08744587004184723, 0.21360306441783905, 0.4525650441646576, 0.21047137677669525]",3,"seems, should, for"
2000-03-03 04:48:00,The file is updated and renamed as Gas Basis Mar <DATE_TIME>.  ,"[0.1787627935409546, 0.1648939847946167, 0.2386368364095688, 0.22187075018882751, 0.19583560526371002]",2,"updated, the, is"
2000-03-03 04:33:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> <DATE_TIME> ---------------------------<PERSON> <DATE_TIME>To: <PERSON>, <PERSON>/ECT@ECTcc:  Subject: Western Strategy SummariesSlides from <DATE_TIME>'s meeting are attached: ","[0.16192412376403809, 0.15782256424427032, 0.1754879653453827, 0.283433735370636, 0.22133155167102814]",3,"on, forward, attached"
2000-03-03 02:53:00,It is ok to let the deposit rollover on #13 if there is no interruption in rent.,"[0.023749027401208878, 0.14348655939102173, 0.6620302796363831, 0.15495362877845764, 0.015780478715896606]",2,"ok, it, is"
2000-03-03 00:39:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 08:36 AM ---------------------------""the <URL> team"" <<EMAIL_ADDRESS>> on <DATE_TIME> 12:29:38 AMPlease respond to <EMAIL_ADDRESS>To: <EMAIL_ADDRESS>cc:  <PERSON>: Just <NRP>! Exclusive new animation from <PERSON>Dear Phillip, 7th Portal is a super hero action/adventure, featuring a global band of teenage game testers who get pulled into a parallel universe (through the 7th Portal) created through a warp in the Internet. The fate of the earth and the universe is in their hands as they fight Mongorr the Merciful -- the evil force in the universe. The legendary <PERSON>, creator of <PERSON> and the <IN_PAN> Hulk, brings us ""Let the Game Begin,"" episode #1 of 7th Portal -- a new series exclusively on <URL>. - the <URL> team ===================== Advertisement ===================== Don't miss <URL>! Watch Daily Music News. Download MP3s. Read album reviews. Get the scoop on <DATE_TIME> of artists, including exclusive photos, bios, song clips & links. Win great prizes & MORE. <URL>===================== Advertisement ===================== ~~~~~~~~~~~~~~~~~~~~~~~~ Unsubscribe Instructions ~~~~~~~~~~~~~~~~~~~~~~~~ Sure you want to unsubscribe and stop receiving E-mail from us? All right... click here: <URL>#17094 ","[0.10392533242702484, 0.15537992119789124, 0.19506017863750458, 0.3605100214481354, 0.18512457609176636]",3,"respond, new, exclusive"
2000-03-02 05:08:00,"Imelda,Please switch my sitara access from central to west and email me with my password.thank you,<PERSON>","[0.2801033854484558, 0.11431243270635605, 0.1396339237689972, 0.1684042066335678, 0.29754602909088135]",4,"thank, imel, please"
2000-03-02 05:07:00,Try again.  The attachment was not attached.,"[0.5308385491371155, 0.34822574257850647, 0.11063060164451599, 0.008388406597077847, 0.0019166985293850303]",0,"try, not, again"
2001-04-24 15:08:00,"<PERSON>,The implied risk created by the san juan and rockies indeces being partially set after <DATE_TIME> is the same as the risk in a long futures position.  Whatever the risk was prior should not matter.  Since the rest of the books are very short price this should be a large offset.  If the VAR calculation does not match the company's true risk then it needs to be revised or adjusted.  <PERSON>","[0.161360964179039, 0.31489887833595276, 0.34722578525543213, 0.14268262684345245, 0.03383181244134903]",2,"should, is, ."
2000-02-28 03:19:00,"<PERSON>, I transferred $10,000 out of the checking account on <DATE_TIME> <DATE_TIME>.  I will call you <DATE_TIME> or <DATE_TIME> to see what is new.<PERSON>","[0.5115469694137573, 0.21650910377502441, 0.14862342178821564, 0.06624981015920639, 0.057070694863796234]",0,"will, transferred, ."
2000-02-21 23:03:00,"<PERSON>, Let's just close on <DATE_TIME>.<PERSON>","[0.22318001091480255, 0.19921547174453735, 0.26602381467819214, 0.17813637852668762, 0.13344433903694153]",2,"just, let, ,"
2000-02-21 00:07:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME>==<DATE_TIME> ---------------------------  =20=09=09=09From:  <PERSON> <DATE_TIME>=09To: <PERSON>, <PERSON> Gomez/HOU/ECT@ECT, <PERSON>=20Allen/HOU/ECT@ECTcc: =20Subject: PIRA's <IN_PAN>/Southwest Gas Pipeline StudyDid any of you order thisJEn---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME>==<DATE_TIME> ---------------------------""<PERSON>"" <<EMAIL_ADDRESS>> on <DATE_TIME> PMTo: ""PIRA Energy Retainer Client"" <<EMAIL_ADDRESS>>cc: =20Subject: PIRA's <IN_PAN>/Southwest Gas Pipeline Study?PIRA focuses on the  <IN_PAN>/Southwest Region in its study of Natural Ga=s=20Pipeline  InfrastructurePIRA  Energy Group announces the continuation of its new multi-client study=,=20The  Price of Reliability: The Value and Strategy of Gas  Transportation.The Price of Reliability, delivered in 6  parts (with each part representin=<PERSON>a discrete <NRP> region), offers  insights into the changes and=20developments in the <NRP> natural gas  pipeline infrastructure. Th=<PERSON>updated <IN_PAN>, which is attached in PDF and  Word files, outlines PIRA='s=20approach and methodology, study deliverables  and?release dates.This note  is to inform you that PIRA has commenced its study of the third==20region:  <IN_PAN> & the Southwest. As in all regions, this  study begins==20with a fundamental view of gas flows in the <LOCATION> and <LOCATION>.  <LOCATION> in==20this region (covering CA, <LOCATION>, AZ, NM) will be discussed in greater  detail==20within the <NRP> context. Then we turn to the value of =20transportation at the following three major pricing points with an assessme=nt=20of  the primary market (firm), secondary market (basis) and asset market:??????1) <NRP>  <LOCATION> border (Topock)??????2) <LOCATION>??????3) <NRP>  Basin (Waha)?The <IN_PAN>/SW region=01,s  workshop =01* a key element of the service ==01* will=20take place on <DATE_TIME>, 2000,at <DATE_TIME>, at the Arizona Biltmore Hotel in ==20Phoenix.?For those of you joining  us, a?<IN_PAN>  block  of rooms is bei=ng=20held through <DATE_TIME>.The attached <IN_PAN> explains the various  options for subscribing.?Plea=se=20note  two key issues in regards to your subscribing options:?One, there is =<PERSON>10% savings for  PIRA retainer clients who order before <DATE_TIME>, 2000;==20and?two, there are discounts for  <IN_PAN>?more than one  region.If you have any questions, please do not hesitate to  contact me.Sincerely,<PERSON>Manager, Business  DevelopmentPIRA Energy Group<PHONE_NUMBER><EMAIL_ADDRESS> =20 - PROSPECTUS.PDF - <URL>c","[0.2142394781112671, 0.18591083586215973, 0.14499728381633759, 0.23324191570281982, 0.22161051630973816]",3,"any, ?, pm"
2000-02-17 05:39:00,"tara, I received your email about setting up Paul Lucci and <PERSON> with executable id's.  The rights you set up are fine. Thank you for your help.<PERSON>","[0.04525646194815636, 0.04594899341464043, 0.1310468316078186, 0.3374752998352051, 0.44027242064476013]",4,"tara, for, fine"
2000-02-17 05:07:00,<PERSON>Are you sure you did the attachment right.  There was no file attached to your message.  Please try again.<PERSON>,"[0.3365013599395752, 0.31437525153160095, 0.26470309495925903, 0.0629088282585144, 0.021511472761631012]",0,"try, no, please"
2000-02-15 05:42:00,"<PERSON>, I got your email.  Go ahead and get a carpet shampooer.  Make sure it comes back clean after each use.  (Wade and the tenants.) As far as W-2.  I looked up the rules for withholding and social security.  I will call you <DATE_TIME> to discuss.<PERSON>","[0.1624653935432434, 0.15009497106075287, 0.16621822118759155, 0.25294384360313416, 0.26827752590179443]",4,"., ,, your"
2000-02-15 04:53:00,"Should I appeal to <LOCATION>.---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 12:52 PM ---------------------------<PERSON><DATE_TIME> 10:48 AMTo: <PERSON>/ECT@ECTcc: <PERSON> at the Body ShopPhillip -I applaud you for using your cycle as <DATE_TIME> transportation.  Saves on gas, pollution and helps keep you strong and healthy.  Enron provides bike racks in the front of the building for requests such as this.  <PERSON>, I wish we could accommodate this request; however, The Body Shop does not have the capacity nor can assume the responsibility for storing cycles on a <DATE_TIME> basis.  If you bring a very good lock you should be able to secure the bike at the designated outside racks.  Keep Pedalling - Lee","[0.12069568783044815, 0.2506599724292755, 0.29339659214019775, 0.24098052084445953, 0.09426730871200562]",2,"should, not, nor"
2000-02-11 07:39:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 03:38 PM ---------------------------<PERSON> <DATE_TIME>To: <PERSON>, <PERSON>/ECT@ECTcc: <PERSON>/ECT@ECT Subject: Western Strategy BriefingSlides for <DATE_TIME>'s meeting are attached: ","[0.15803830325603485, 0.1509307622909546, 0.1806013137102127, 0.2923596203327179, 0.21806995570659637]",3,"attached, are, forward"
